FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty1,x3,HDELE - BITS G629T - DISSERTATION,FDCDC - GS F231 - DYN OF SOCIAL CHANGE,HDCDC - BITS G561T - DISSERTATION,FDELE - PHY F433 - TOPICS IN NONLINEAR OPTICS,FDCDC - GS F233 - PUBLIC POLICY,FDELE - BITS F464 - MACHINE LEARNING,HDELE - ME F415 - GAS DYNAMICS,FDELE - CS F215 - DIGITAL DESIGN,FDCDC - CHEM F313 - INSTRU METHODS OF ANAL,FDCDC - CS F314 - SOFT DEV FOR PORT DEVICE,FDELE - MATH F353 - STATISTICAL INFER & APP,HDCDC - BITS G529 - RESEARCH PROJECT I
Faculty2,x1,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,FDELE - HSS F332 - CINEMATIC ART,HDELE - BITS G629T - DISSERTATION,FDCDC - HSS F347 - INTRO TOCARNATIC MUSIC,FDELE - CHE F211 - CHEMICAL PROCESS CALCULATION,FDELE - EEE F491 - SPECIAL PROJECT,FDELE - ECE F434 - DIGITAL SIGNAL PROCESS,FDCDC - GS F231 - DYN OF SOCIAL CHANGE,FDCDC - CS F407 - ARTIFICIAL INTELLIGENCE,HDELE - ME F415 - GAS DYNAMICS,FDCDC - MATH F111 - MATHEMATICS-I,HDCDC - BITS G540 - RESEARCH PRACTICE
Faculty3,x3,FDELE - CHEM F214 - INORGANIC CHEMISTRY I,HDCDC - BIO G512 - MOLEC MECH OF GENE EXPRE,HDCDC - BITS G553 - REAL TIME SYSTEMS,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,FDELE - CHE F312 - CHEMICAL ENGG LAB I,FDCDC - CS F214 - LOGIC IN COMPUTER SC,HDELE - ME G515 - COMPUT FLUID DYNAMICS,HDELE - MEL G611 - I C FABRICATION TECH,FDELE - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,FDCDC - BITS F415 - INTRODUCTION TO MEMS,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,FDCDC - MATH F313 - NUMERICAL ANALYSIS
Faculty4,x3,FDCDC - MATH F111 - MATHEMATICS-I,FDELE - BIO F417 - BIOMOLECULAR MODELING,FDCDC - PHY F491 - SPECIAL PROJECT,HDELE - MEL G611 - I C FABRICATION TECH,FDELE - EEE F212 - ELECTROMAGNETIC THEORY,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,HDCDC - BITS G553 - REAL TIME SYSTEMS,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDELE - BITS F464 - MACHINE LEARNING,FDCDC - MATH F313 - NUMERICAL ANALYSIS,HDELE - ME F415 - GAS DYNAMICS,FDELE - GS F221 - BUSINESS COMMUNICATION
Faculty5,x3,FDCDC - GS F233 - PUBLIC POLICY,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - CS F429 - NATURAL LANG PROCESS,FDELE - EEE F212 - ELECTROMAGNETIC THEORY,FDCDC - BIO F312 - PLANT PHYSIOLOGY,HDELE - BITS G629T - DISSERTATION,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,HDCDC - BITS G553 - REAL TIME SYSTEMS,FDCDC - MATH F313 - NUMERICAL ANALYSIS,FDELE - EEE F211 - ELECTRICAL MACHINES,FDELE - CS F222 - DISCR STRUC FOR COMP SCI,FDELE - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO
Faculty6,x3,FDCDC - CHEM F313 - INSTRU METHODS OF ANAL,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,FDELE - ECE F434 - DIGITAL SIGNAL PROCESS,HDELE - MEL G624 - ADV VLSI ARCHITECTURES,FDCDC - CHE F376 - DESIGN PROJECT,HDCDC - BIO G512 - MOLEC MECH OF GENE EXPRE,FDCDC - BITS F415 - INTRODUCTION TO MEMS,FDELE - HSS F332 - CINEMATIC ART,FDCDC - GS F231 - DYN OF SOCIAL CHANGE,FDELE - CHEM F214 - INORGANIC CHEMISTRY I,FDELE - GS F221 - BUSINESS COMMUNICATION,HDELE - BIO G532 - BIOSTATISTICS AND BIOMODELLING
Faculty7,x2,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,HDCDC - BITS G561T - DISSERTATION,FDCDC - BITS F415 - INTRODUCTION TO MEMS,FDCDC - PHY F491 - SPECIAL PROJECT,FDELE - MATH F353 - STATISTICAL INFER & APP,FDELE - HSS F332 - CINEMATIC ART,FDCDC - MATH F111 - MATHEMATICS-I,FDCDC - PHY F346 - LASER SCIENCE AND TECHNOLOGY,FDELE - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,FDELE - BIO F417 - BIOMOLECULAR MODELING,HDELE - BITS G629T - DISSERTATION,HDELE - ME G515 - COMPUT FLUID DYNAMICS
Faculty8,x3,FDELE - EEE F491 - SPECIAL PROJECT,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - ECE F376 - DESIGN PROJECT,HDCDC - ME G512 - FINITE ELEMENT METHOD,FDELE - CHE F211 - CHEMICAL PROCESS CALCULATION,HDCDC - BITS G540 - RESEARCH PRACTICE,FDCDC - EEE F311 - COMMUNICATION SYSTEMS,HDELE - MEL G624 - ADV VLSI ARCHITECTURES,FDCDC - MATH F111 - MATHEMATICS-I,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - CS F215 - DIGITAL DESIGN
Faculty9,x3,HDCDC - BITS G561T - DISSERTATION,FDELE - PHY F412 - INTRODUCTION TO QUANTUM FIELD THEORY,HDELE - MEL G611 - I C FABRICATION TECH,FDELE - HSS F332 - CINEMATIC ART,FDELE - MATH F353 - STATISTICAL INFER & APP,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - BIO F312 - PLANT PHYSIOLOGY,FDCDC - ECE F376 - DESIGN PROJECT,FDCDC - MATH F111 - MATHEMATICS-I,FDELE - PHY F426 - PHY OF SEMICONDUCTOR DEV,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,FDCDC - CS F314 - SOFT DEV FOR PORT DEVICE
Faculty10,x1,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDELE - CHE F211 - CHEMICAL PROCESS CALCULATION,FDELE - MATH F353 - STATISTICAL INFER & APP,FDCDC - HSS F347 - INTRO TOCARNATIC MUSIC,HDCDC - CHE G622 - ADV CHEMICAL ENGG THERMO,FDCDC - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - CHE F312 - CHEMICAL ENGG LAB I,HDELE - MEL G624 - ADV VLSI ARCHITECTURES,FDELE - EEE F211 - ELECTRICAL MACHINES,FDCDC - PHY F346 - LASER SCIENCE AND TECHNOLOGY,HDCDC - BITS G540 - RESEARCH PRACTICE,FDCDC - CS F314 - SOFT DEV FOR PORT DEVICE
