FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty1,x3,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,HDELE - BITS G511 - ADVANCED PROJECT,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDCDC - CS F429 - NATURAL LANG PROCESS,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,FDELE - CS F441 - SELECTED TOPICS FROM COMP SCI,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - CS F366 - LABORATORY PROJECT,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,FDCDC - CHEM F266 - STUDY PROJECT
Faculty2,x1,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - CS F429 - NATURAL LANG PROCESS,HDCDC - ME F112 - WORKSHOP PRACTICE,HDELE - BITS G511 - ADVANCED PROJECT,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDCDC - BIO F376 - DESIGN PROJECT,FDELE - BIO F491 - SPECIAL PROJECT,FDELE - CS F366 - LABORATORY PROJECT,FDELE - GS F242 - CULTURAL STUDIES,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING
Faculty3,x3,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,HDCDC - ME F112 - WORKSHOP PRACTICE,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDCDC - ECON F412 - SECUR ANAL & PORTFOL MGT,HDELE - BITS G511 - ADVANCED PROJECT,FDELE - CS F366 - LABORATORY PROJECT,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDELE - GS F242 - CULTURAL STUDIES,FDCDC - CS F429 - NATURAL LANG PROCESS,HDELE - BITS G619 - PROFESSIONAL PRACTICE
Faculty4,x3,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - MATH F211 - MATHEMATICS III,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,FDCDC - ECE F266 - STUDY PROJECT,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDCDC - CS F429 - NATURAL LANG PROCESS,HDELE - BIO G523 - ADV & APPLIED MICROBIO,"HDELE - ME F317 - ENGINES, MOTORS, AND MOBILITY",FDELE - BIO F491 - SPECIAL PROJECT
Faculty5,x1,FDELE - BIO F491 - SPECIAL PROJECT,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,FDCDC - BIO F376 - DESIGN PROJECT,FDCDC - ECE F266 - STUDY PROJECT,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,HDCDC - ME F112 - WORKSHOP PRACTICE,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,FDCDC - CS F429 - NATURAL LANG PROCESS,HDELE - BITS G511 - ADVANCED PROJECT,FDELE - CS F366 - LABORATORY PROJECT,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY
Faculty6,x3,"HDELE - ME F317 - ENGINES, MOTORS, AND MOBILITY",FDCDC - CHEM F266 - STUDY PROJECT,FDCDC - CS F429 - NATURAL LANG PROCESS,HDELE - BITS G511 - ADVANCED PROJECT,FDELE - MATH F211 - MATHEMATICS III,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,FDCDC - BIO F376 - DESIGN PROJECT,FDELE - GS F242 - CULTURAL STUDIES,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,HDCDC - ME F112 - WORKSHOP PRACTICE,FDELE - ECON F315 - FINANCIAL MANAGEMENT,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY
Faculty7,x3,FDELE - GS F242 - CULTURAL STUDIES,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDCDC - BIO F376 - DESIGN PROJECT,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,"HDELE - ME F317 - ENGINES, MOTORS, AND MOBILITY",FDELE - CS F366 - LABORATORY PROJECT,FDELE - MATH F211 - MATHEMATICS III,FDELE - BIO F491 - SPECIAL PROJECT,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDCDC - ECE F266 - STUDY PROJECT,HDCDC - ME F112 - WORKSHOP PRACTICE,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS
Faculty8,x2,HDCDC - ME F112 - WORKSHOP PRACTICE,HDELE - BITS G511 - ADVANCED PROJECT,FDELE - CS F441 - SELECTED TOPICS FROM COMP SCI,FDCDC - CHEM F266 - STUDY PROJECT,FDCDC - BIO F376 - DESIGN PROJECT,FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - BIO F491 - SPECIAL PROJECT,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,HDCDC - BIO G514 - MOLECULAR IMMUNOLOGY,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDELE - GS F242 - CULTURAL STUDIES,HDELE - BIO G523 - ADV & APPLIED MICROBIO
Faculty9,x2,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,FDCDC - CHEM F266 - STUDY PROJECT,FDELE - MATH F311 - INTRODUCTION TO TOPOLOGY,"HDELE - ME F317 - ENGINES, MOTORS, AND MOBILITY",FDCDC - GS F234 - DEVELOPMENT ECONOMICS,FDELE - CS F441 - SELECTED TOPICS FROM COMP SCI,FDELE - MATH F211 - MATHEMATICS III,FDCDC - CS F429 - NATURAL LANG PROCESS,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,HDCDC - ME F112 - WORKSHOP PRACTICE,FDCDC - BIO F376 - DESIGN PROJECT
Faculty10,x2,FDCDC - BITS F437 - TECHNICAL COMMUNICATION,FDCDC - CS F429 - NATURAL LANG PROCESS,HDCDC - ME F112 - WORKSHOP PRACTICE,FDELE - MATH F211 - MATHEMATICS III,FDCDC - ECE F266 - STUDY PROJECT,HDCDC - BIO G532 - BIOSTATISTICS AND BIOMODELLING,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDCDC - PHY F313 - COMPUTATIONAL PHYSICS,HDELE - BIO G523 - ADV & APPLIED MICROBIO,FDELE - BIO F491 - SPECIAL PROJECT,FDELE - CS F366 - LABORATORY PROJECT,HDELE - BITS G619 - PROFESSIONAL PRACTICE
